aruandeaasta,annual_report_id,veehaardekood,veehaardenimetus,jaamakood,jaamanimi,markused,aastakokku,jaanuar,veebruar,marts,aprill,mai,juuni,juuli,august,september,oktoober,november,detsember
2023,53026,PIH0000150,Toorvee pumpla,,,,237541,28732,24573,27421,26715,27480,20568,15977,18053,2338,5898,13326,26460
2023,57553,,,,,Ei ole  pinnaveehaarde ja veetöötlusjaama.,,,,,,,,,,,,,
2023,57672,PIH0000011,Pajusi,,,,658,0,0,0,71,71,74,150,149,143,0,0,0
2022,40202,PIH0000173,Põltsamaa jõe veehaare Uuevälja külas,,,,2790,0,0,0,0,0,2000,790,0,0,0,0,0
2022,40214,PIH0000069,Reiu taimla,,,,799,0,0,0,54,180,296,101,112,56,0,0,0
2022,40331,PIH0000158,OÜ Voorepealse köögiviljad veevõtukoht,,,,1300,0,0,0,0,0,300,500,500,0,0,0,0
2022,40343,PIH0000135,SA Tähtvere Puhkepargi pinnaveevõtukoht,,,,500,500,0,0,0,0,0,0,0,0,0,0,0
2022,40371,PIH0000193,Palalinna põhjakallas 1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,40371,PIH0000192,Palalinna lõunakallas 1,,,,200,0,0,0,0,0,0,0,0,0,0,200,
2022,40371,PIH0000084,Palalinna lõunakallas,,,,800,0,0,0,0,0,0,0,0,0,0,0,800
2022,40371,PIH0000085,Palalinna põhjakallas,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,40459,PIH0000152,Linnamäe tiik,,,,1363,0,0,0,0,0,0,0,0,0,0,1214,149
2022,40516,PIH0000089,Viljandi Talvepark,,,,1700,0,0,0,0,0,0,0,0,0,0,0,1700
2022,40613,PIH0000077,Silikaadi veehaare Pumbajärvel,,,"Tootmine on külmutatud suvest, vaid hüdrantide toiteks",44,12,7,10,7,3,5,0,0,0,0,0,0
2022,40619,PIH0000051,Progress Plus,,,,4968,0,0,0,288,550,1110,1710,970,340,0,0,0
2022,40878,PIH0000103,Valgehobuse,,,2022. aasta IV kvartalis (november ja detsember) töötasid lumekahurid 25% koormusega.,1650,336,192,0,0,0,0,0,0,0,0,330,792
2022,40936,PIH0000025,Horizon,,,,5388525,617934,554577,602549,589712,611439,562609,607516,496310,280839,191776,154560,118704
2022,41145,PIH0000197,Gren Eesti AS jahutusvee pinnaveehaare,,,,427805,13802,13665,14158,17390,23836,9443,77530,79513,72124,43761,37262,25321
2022,41294,PIH0000072,Kohila vineeritehas,,,,2890,0,0,112,378,378,378,645,645,187,156,6,5
2022,41432,PIH0000159,Hundisoo tiik,,,,6309,0,0,0,0,581,0,0,0,0,0,0,5728
2022,41475,PIH0000125,Soodla veehoidla hüdrosõlm,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,41475,PIH0000126,Raudoja veehoidla hüdrosõlm,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,41475,PIH0000127,Aavoja veehoidla hüdrosõlm,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,41475,PIH0000128,Purdi profiil,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
